property_name,lease_start,rent_amount,cumulative_rent
"Stuart Group",2024-06-18,44309,212186
"Swanson, Benson and Campbell",2020-01-19,47749,47749
"Swanson, Benson and Campbell",2024-08-02,13187,60936
"Swanson, Benson and Campbell",2024-08-10,21418,82354
"Tapia, Harris and Mccann",2020-09-27,31040,31040
"Tapia, Harris and Mccann",2020-12-14,48049,79089
"Tapia, Harris and Mccann",2021-11-04,22310,101399
"Tapia, Harris and Mccann",2023-02-03,15424,116823
"Tate Inc",2019-11-13,4186,4186
"Tate Inc",2019-12-22,35185,39371
"Tate Inc",2020-08-14,12368,51739
"Tate Inc",2020-10-03,45228,96967
"Tate Inc",2021-02-19,23877,120844
"Tate Inc",2022-01-10,27180,148024
"Tate Inc",2022-08-24,38835,186859
"Tate Inc",2023-09-11,29971,216830
"Tate Inc",2023-09-21,49710,266540
"Taylor Inc",2021-06-24,30115,30115
"Taylor Inc",2022-01-24,11098,41213
"Taylor Inc",2022-09-26,27539,68752
"Thomas LLC",2020-05-12,46506,46506
"Thomas LLC",2020-09-02,45073,91579
"Thomas LLC",2020-09-29,8633,100212
"Thomas LLC",2021-01-10,34735,134947
"Thomas LLC",2021-10-24,10868,145815
"Thomas LLC",2022-09-18,28502,174317
"Thomas Ltd",2021-01-01,3392,3392
"Thomas Ltd",2021-08-16,27580,30972
"Thomas Ltd",2022-04-16,11311,42283
"Thomas Ltd",2022-07-22,12037,54320
"Thomas Ltd",2023-07-15,19408,73728
"Thomas, Atkinson and Lopez",2020-07-02,4369,4369
"Thomas, Atkinson and Lopez",2021-04-05,43423,47792
"Thomas, Atkinson and Lopez",2021-11-02,25481,73273
"Thomas, Atkinson and Lopez",2022-10-04,28074,101347
"Thomas, Atkinson and Lopez",2023-12-29,28673,130020
"Thomas, Atkinson and Lopez",2024-03-07,32984,163004
"Thomas, Atkinson and Lopez",2024-04-19,29101,192105
"Thomas, Atkinson and Lopez",2024-07-01,48255,240360
"Thompson Group",2020-04-26,45050,45050
"Thompson Group",2020-08-01,36311,81361
"Thompson Group",2022-01-05,34354,115715
"Thompson Group",2023-02-08,31529,147244
"Thompson Group",2024-06-03,24613,171857
"Thompson, Silva and Odom",2020-06-07,8432,8432
"Thompson, Silva and Odom",2021-04-11,5500,13932
"Thompson, Silva and Odom",2021-04-16,4130,18062
"Townsend LLC",2021-07-05,15045,15045
"Townsend LLC",2022-01-17,43036,58081
"Townsend LLC",2022-07-01,12966,71047
"Townsend LLC",2022-10-04,43754,114801
"Townsend LLC",2023-12-16,22651,137452
"Townsend LLC",2024-08-05,3886,141338
Turner-Carter,2020-05-15,10382,10382
Turner-Carter,2022-04-24,38526,48908
Turner-Carter,2022-09-20,25202,74110
Turner-Ortiz,2020-11-28,7254,7254
"Underwood PLC",2020-05-02,4475,4475
"Underwood PLC",2021-01-07,24752,29227
"Underwood PLC",2021-02-09,32283,61510
"Underwood PLC",2021-02-15,25306,86816
"Underwood PLC",2022-03-03,6470,93286
"Underwood PLC",2022-11-23,20034,113320
"Underwood PLC",2023-05-31,14025,127345
"Vasquez, Blackwell and Pierce",2019-12-15,39062,39062
"Vasquez, Blackwell and Pierce",2023-08-15,29223,68285
"Vasquez, Blackwell and Pierce",2023-11-30,39507,107792
"Vasquez, Blackwell and Pierce",2024-06-22,25249,133041
"Vasquez, Willis and Little",2020-08-15,22045,22045
"Vasquez, Willis and Little",2020-11-29,14680,36725
"Vasquez, Willis and Little",2022-06-03,36983,73708
"Vasquez, Willis and Little",2022-06-06,1867,75575
"Vasquez, Willis and Little",2024-03-04,35280,110855
"Vasquez, Willis and Little",2024-03-16,27315,138170
"Velasquez PLC",2020-07-06,25496,25496
"Velasquez PLC",2020-09-02,36743,62239
"Velasquez PLC",2020-12-10,3471,65710
"Velasquez PLC",2021-01-19,26407,92117
"Velasquez PLC",2022-08-07,28207,120324
"Velasquez PLC",2023-12-28,8293,128617
"Velasquez PLC",2024-02-21,36530,165147
"Villanueva, Miller and Lopez",2020-01-20,7354,7354
"Villanueva, Miller and Lopez",2022-02-02,26730,34084
"Villarreal and Sons",2020-03-16,14780,14780
"Villarreal and Sons",2020-06-10,1859,16639
"Villarreal and Sons",2020-08-22,21725,38364
"Villarreal and Sons",2021-09-17,36354,74718
"Villarreal and Sons",2023-05-12,33402,108120
"Villarreal and Sons",2024-01-30,22911,131031
Wagner-Acevedo,2019-11-03,46363,46363
Wagner-Acevedo,2020-08-29,38394,84757
Wagner-Acevedo,2020-11-20,16146,100903
Wagner-Acevedo,2021-12-16,1219,102122
Wagner-Acevedo,2023-09-20,5021,107143
Wagner-Acevedo,2024-08-11,25733,132876
Wagner-Griffin,2020-06-15,27752,27752
Wagner-Griffin,2020-11-06,25517,53269
Wagner-Griffin,2021-04-02,46371,99640
Wagner-Griffin,2022-09-29,24125,123765
Wagner-Griffin,2024-04-09,42252,166017
Wagner-Griffin,2024-08-24,37582,203599
Wagner-Griffin,2024-10-20,6110,209709
"Walker Inc",2020-05-25,40009,40009
"Walker Inc",2021-03-10,29012,69021
"Walker Inc",2021-07-14,7563,76584
"Walker Inc",2021-10-12,43683,120267
"Walker Inc",2024-07-02,32720,152987
Walker-Boyle,2020-06-18,46901,46901
"Walker, Marsh and Moore",2020-02-03,13886,13886
"Walker, Marsh and Moore",2021-03-23,3921,17807
"Walker, Marsh and Moore",2022-08-24,18990,36797
"Walker, Marsh and Moore",2023-06-12,7559,44356
"Walker, Marsh and Moore",2023-08-25,24180,68536
"Waller PLC",2020-02-07,41009,41009
"Waller PLC",2020-11-25,6406,47415
"Waller PLC",2021-11-26,45878,93293
"Waller PLC",2022-01-31,24015,117308
"Waller PLC",2022-11-25,10602,127910
Walters-Jones,2022-03-19,44302,44302
Walters-Jones,2022-04-21,24086,68388
Walters-Jones,2023-02-11,38448,106836
Walters-Jones,2023-11-14,16176,123012
Walters-Jones,2024-02-01,5936,128948
"Walton, Freeman and Cruz",2019-11-22,47933,47933
"Walton, Freeman and Cruz",2022-07-20,43358,91291
"Walton, Freeman and Cruz",2023-09-15,46006,137297
"Ward Group",2021-10-16,26158,26158
Ward-Brown,2021-04-09,36819,36819
Ward-Brown,2023-10-21,35133,71952
"Warren and Sons",2019-12-21,15499,15499
"Warren and Sons",2020-05-27,3417,18916
"Warren and Sons",2021-05-01,15524,34440
"Warren and Sons",2021-07-02,25618,60058
"Warren and Sons",2024-04-16,3929,63987
Warren-Mccormick,2023-02-20,44098,44098
Waters-Byrd,2022-05-16,41524,41524
Waters-Byrd,2023-02-21,47347,88871
Waters-Byrd,2023-05-24,46910,135781
Waters-Byrd,2024-10-13,17759,153540
"Watkins Ltd",2020-09-19,17383,17383
"Watkins Ltd",2020-10-12,1635,19018
"Watkins Ltd",2021-08-03,10517,29535
"Watkins Ltd",2022-09-09,11120,40655
"Watkins Ltd",2022-12-24,21994,62649
"Watkins Ltd",2024-04-11,11769,74418
"Watson Group",2020-06-22,40493,40493
"Watson Group",2021-02-21,1461,41954
"Watson Group",2022-02-09,47510,89464
"Watson Group",2022-10-23,18290,107754
"Watson Group",2024-06-15,44468,152222
"Watson Group",2024-10-24,49200,201422
"Watson LLC",2022-01-30,41419,41419
"Watson LLC",2022-12-22,12591,54010
"Watson LLC",2024-03-28,23646,77656
"Watson LLC",2024-05-08,7006,84662
Weaver-Rodriguez,2022-06-05,44541,44541
Weaver-Rodriguez,2024-01-22,21679,66220
Weaver-Rodriguez,2024-03-24,2385,68605
Weber-Gibson,2020-02-01,35259,35259
Weber-Gibson,2020-12-20,35410,70669
Weeks-Morris,2021-08-01,47338,47338
Weeks-Morris,2024-07-09,26575,73913
"Werner Group",2019-10-30,29076,29076
"Werner Group",2020-10-10,17186,46262
"Wheeler PLC",2020-01-29,22310,22310
"Wheeler PLC",2020-09-25,31301,53611
"Wheeler PLC",2022-03-21,13645,67256
"Wheeler PLC",2022-09-21,18274,85530
"Wheeler PLC",2023-11-20,11501,97031
"Wheeler PLC",2024-09-20,38951,135982
"Wheeler PLC",2024-09-29,40028,176010
"White Group",2023-03-18,26139,26139
"White Group",2023-08-18,31528,57667
"White LLC",2020-05-03,37321,37321
"White LLC",2020-09-18,36522,73843
"White LLC",2023-05-05,38600,112443
White-Flores,2020-05-07,6684,6684
White-Flores,2023-06-09,12243,18927
White-Flores,2024-05-31,16944,35871
White-Robinson,2021-05-20,22397,22397
White-Robinson,2021-10-14,39384,61781
White-Robinson,2022-02-20,25245,87026
White-Robinson,2023-06-24,5420,92446
"White, Holt and Padilla",2020-02-26,2970,2970
"White, Holt and Padilla",2020-05-23,24844,27814
"White, Holt and Padilla",2022-07-17,30588,58402
"White, Holt and Padilla",2023-06-25,37887,96289
"White, Holt and Padilla",2023-09-25,11609,107898
"White, Holt and Padilla",2024-06-19,47862,155760
"Williams and Sons",2020-01-28,24686,24686
"Williams and Sons",2024-07-15,19481,44167
"Williams Group",2023-05-06,37447,37447
"Williams Group",2023-08-24,45301,82748
"Williams Group",2024-07-01,23639,106387
"Williams LLC",2023-04-21,5224,5224
"Williams PLC",2020-07-05,17712,17712
"Williams PLC",2022-12-16,16740,34452
Williams-Stewart,2021-03-19,10182,10182
Williams-Stewart,2021-12-09,47223,57405
Williams-Stewart,2022-10-12,16789,74194
Williams-Stewart,2023-06-06,21205,95399
Williams-Stewart,2023-12-10,24321,119720
Williams-Stewart,2024-09-26,28769,148489
"Williams, Newman and Williamson",2020-07-09,23654,23654
"Williams, Newman and Williamson",2021-06-03,2686,26340
"Williams, Newman and Williamson",2021-08-01,12122,38462
"Williams, Newman and Williamson",2022-12-25,31360,69822
"Williams, Newman and Williamson",2024-04-28,9975,79797
"Williams, Wilson and Ellis",2020-10-31,25185,25185
"Williams, Wilson and Ellis",2022-11-16,20223,45408
"Williams, Wilson and Ellis",2023-12-17,8526,53934
"Willis Ltd",2019-11-30,33803,33803
"Willis Ltd",2020-02-10,48736,82539
"Willis Ltd",2020-09-09,35469,118008
"Willis Ltd",2020-09-12,29989,147997
"Willis Ltd",2020-09-19,42460,190457
"Willis Ltd",2021-09-17,21162,211619
"Willis Ltd",2021-09-22,32559,244178
"Willis Ltd",2022-12-29,49494,293672
"Willis Ltd",2023-02-12,10305,303977
"Willis Ltd",2023-09-11,4575,308552
"Willis Ltd",2023-09-26,14947,323499
"Willis Ltd",2024-06-14,36672,360171
"Willis Ltd",2024-09-17,35927,396098
"Wilson Group",2024-07-25,27252,27252
"Wilson Ltd",2020-11-15,11612,11612
"Wilson Ltd",2023-08-04,37324,48936
"Wilson, Davenport and Wyatt",2023-11-04,36971,36971
"Wood, Proctor and Johnson",2020-07-11,8663,8663
"Wood, Proctor and Johnson",2020-10-06,46717,55380
"Wood, Proctor and Johnson",2024-09-27,15647,71027
"Yates Ltd",2020-04-16,3132,3132
"Yates Ltd",2020-08-12,18609,21741
"Yates Ltd",2021-08-09,29713,51454
"Yates Ltd",2022-07-27,24653,76107
"Yates Ltd",2023-06-26,13976,90083
"Yates Ltd",2024-01-31,28487,118570
"Yates Ltd",2024-03-08,18055,136625
Yoder-Davis,2022-09-15,26794,26794
Yoder-Rowe,2022-01-01,18015,18015
Yoder-Rowe,2022-09-16,10876,28891
Yoder-Rowe,2022-11-22,8649,37540
Yoder-Rowe,2023-04-18,9028,46568
Yoder-Rowe,2023-06-13,4927,51495
Yoder-Rowe,2024-09-06,36813,88308
"York PLC",2020-10-04,30086,30086
"York PLC",2021-07-16,4797,34883
"York PLC",2022-02-09,22182,57065
"York PLC",2023-04-14,18077,75142
Young-Abbott,2024-02-16,42562,42562
"Young, Garrison and Ward",2024-01-04,44952,44952
"Young, Garrison and Ward",2024-01-26,5191,50143
"Young, Garrison and Ward",2024-07-28,39801,89944
